pacbio_28Sept_1kb_2kb_self_prepped_libraries_25,pacbio_28Sept_1kb_2kb_sel.1
pacbio_29Sep_6kb_Strobe_Libraries_27,pacbio_29Sep_6kb_Strobe_L.1
pacbio_30Sep11_250bp_Lambda_29,pacbio_30Sep11_250bp_Lamb.1
pacbio_42155_02162012_SNR_Calibration_32,pacbio_42155_02162012_SNR.1
pacbio_42155_SAT_LegReplacement_357,pacbio_42155_SAT_LegRepla.1
pacbio_42155_Test_afterC_Failure_359,pacbio_42155_Test_afterC_.1
pacbio_ControlComplexXL_xx-12-2012_92,pacbio_ControlComplexXL_x.1
pacbio_Instr42155_SATplate_08-09-2015_328,pacbio_Instr42155_SATplat.1
pacbio_Lambda_ECO500mW_08AU12_66,pacbio_Lambda_ECO500mW_08.1
pacbio_NOISE_PLATE_7_3_12_38,pacbio_NOISE_PLATE_7_3_12.1
pacbio_SAT_01June16_after_Leg5_ChipCL_replacement_367,pacbio_SAT_01June16_after.1
pacbio_SAT_After_Stage_Leg_Replacement_299,pacbio_SAT_After_Stage_Le.1
pacbio_SAT_LEG_Replacement_July16_369,pacbio_SAT_LEG_Replacemen.1
pacbio_SAT_Lambda2kb_PM_201209_71,pacbio_SAT_Lambda2kb_PM_2.1
pacbio_SAT_PLATE_02202012_34,pacbio_SAT_PLATE_02202012.1
pacbio_SAT_PLATE_15_3_12_39,pacbio_SAT_PLATE_15_3_12_.1
pacbio_SAT_PLATE_17_07_2013_215,pacbio_SAT_PLATE_17_07_20.1
pacbio_SAT_PLATE_22_3_12_41,pacbio_SAT_PLATE_22_3_12_.1
pacbio_SAT_Plate_02172012_33,pacbio_SAT_Plate_02172012.1
pacbio_SAT_RHadjustment_20121016_86,pacbio_SAT_RHadjustment_2.1
pacbio_SAT_RS42155_20MAY16_CameraReplacement_364,pacbio_SAT_RS42155_20MAY1.1
pacbio_SAT_RS42155_PM2016_18AUG16_373,pacbio_SAT_RS42155_PM2016.1
solexa_01116_HWUSI-EAS1620_00024_62FKC_LANDTHALER-MPIIB,solexa_01116_HWUSI-EAS162.1
solexa_080306_HWI-EAS244_14324AAXX,solexa_080306_HWI-EAS244_.1
solexa_080313_HWI-EAS244_13396,solexa_080313_HWI-EAS244_.1
solexa_080320_HWI-EAS244_13538,solexa_080320_HWI-EAS244_.1
solexa_080402_HWI-EAS244_2052V,solexa_080402_HWI-EAS244_.1
solexa_080626_HWI-EAS244_20GN9,solexa_080626_HWI-EAS244_.1
solexa_080701_HWI-EAS244_0002_209YUAAXX,solexa_080701_HWI-EAS244_.1
